osm_id,name,latitude,longitude,city,state,country,address,description,wikidata,tags
245623398,Gauribidanuru,13.6114523,77.5167805,,Karnataka,India,,Gauribidanur is a taluk situated in Chikkaballapur district in the Indian state of Karnataka.,Q920387,"{'int_name': 'Gowribidanur', 'name': 'Gauribidanuru', 'name:kn': 'ಗೌರೀಬಿದನೂರು', 'name:kn:iso15919': 'Gaurībidanūru', 'name:ml': 'ഗൗരിബിദനൂരു', 'name:te': 'గౌరీబిదనూరు', 'place': 'town', 'population': '30000', 'postal_code': '561208', 'tourism': 'attraction', 'wikidata': 'Q920387', 'wikimedia_commons': 'Category:Gauribidanur', 'wikipedia': 'en:Gauribidanur'}"
248614815,Rajarajeshwari Arch,12.9359565,77.5183096,Bengaluru,Karnataka,India,,,,"{'name': 'Rajarajeshwari Arch', 'tourism': 'attraction'}"
320647357,Chickpet Cross,12.9680027,77.578642,Bengaluru,Karnataka,India,,The junction of Doddapet and Chikkapet is said to be the heart of Bangalore Pete that was founded by Kempe Gowda in 1537 AD,,"{'description': 'The junction of Doddapet and Chikkapet is said to be the heart of Bangalore Pete that was founded by Kempe Gowda in 1537 AD', 'junction': 'yes', 'name': 'Chickpet Cross', 'name:kn': 'ಚಿಕ್ಕಪೇಟಿ ಕ್ರಾಸ್', 'tourism': 'attraction'}"
339933894,Guards' Barracks,15.3149215,76.4696198,Hosapete,Karnataka,India,,,,"{'historic': 'ruins', 'name': ""Guards' Barracks""}"
339933896,Underground Chamber,15.315909,76.4699225,Hosapete,Karnataka,India,,,,"{'historic': 'ruins', 'name': 'Underground Chamber'}"
339934121,Horse Stables,15.3174241,76.469756,Hosapete,Karnataka,India,,,,"{'historic': 'ruins', 'name': 'Horse Stables', 'name:kn': 'ಕುದುರೆ ಕೊಟ್ಟಿಗೆ'}"
340356076,Chakra Tirtha,15.3361789,76.4678475,Hosapete,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Chakra Tirtha', 'name:kn': 'ಚಕ್ರ ತೀರ್ಥ'}"
340371584,Bhojanasala,15.3138568,76.4686333,Hosapete,Karnataka,India,,,,"{'historic': 'ruins', 'name': 'Bhojanasala', 'name:kn': 'ಭೋಜನಶಾಲೆ'}"
347241683,Lalbagh Glasshouse,12.9498004,77.5865608,Bengaluru,Karnataka,India,,,,"{'name': 'Lalbagh Glasshouse', 'name:kn': 'ಲಾಲ್ ಬಾಗ್ ಗಾಜಿನ ಮನೆ', 'tourism': 'attraction'}"
390877530,Dubare Elephant Camp,12.3710485,75.9051815,,Karnataka,India,,,,"{'name': 'Dubare Elephant Camp', 'name:kn': 'ದುಬಾರೆ ಆನೆ ಶಿಬಿರ', 'tourism': 'attraction'}"
